employee_id,first_name,last_name,email,phone_number,department,job_title,hire_date,days_service,base_salary,bonus_percentage,status,birth_date,address,city,state,zip_code,country,gender,education,performance_score,last_review_date,employee_level,vacation_days,sick_days,work_location,shift,emergency_contact,ssn,bank_account
EMP869434,Jordan,Brooks,jordan.brooks@company.com,791.825.5457x906,Finance,Accounts Payable Clerk,2024-11-12,149,70213.39,4.22,Active,1968-09-10,328 Toni Points Apt. 872,Jacksonville,FL,93655,USA,Other,Professional,76.1,2025-03-15,Entry,21,6,Office,Day,200-915-2960x5079,248-98-7560,LKND62451114572222
EMP839517,Angela,Irwin,angela.irwin@company.com,947.521.3906,Logistics,Transportation Coordinator,2024-05-26,319,30000.0,7.31,Active,1996-04-20,6358 Nelson Ranch,Austin,TX,53326,USA,F,High School,57.93,2024-12-25,Entry,18,2,Office,Night,307.972.1690x920,574-66-1673,ILZU19211135085767
EMP737904,Christina,Rose,christina.rose@company.com,(699)222-9233,Finance,Budget Manager,2021-12-07,1220,30000.0,5.42,Inactive,1971-06-27,85115 Cabrera Neck,Buffalo,NY,89405,USA,F,Professional,59.22,2023-08-25,Senior,15,4,Office,Day,+1-862-939-1150x4237,442-09-9352,QQKX10037116440186
EMP732674,Carolyn,Gonzalez,carolyn.gonzalez@company.com,(851)549-3239x74044,Training,Training Manager,2023-12-26,471,48628.68,1.68,Active,1985-08-24,533 Schultz Lodge,Springfield,MA,86240,USA,F,PhD,85.97,2024-01-22,Mid,17,6,Remote,Night,788-894-6512,650-96-8879,FHJX05193338010706
EMP325645,Oscar,Oliver,oscar.oliver@company.com,001-597-764-9166x8769,Engineering,Systems Engineer,2023-05-14,697,80840.48,6.72,Active,1995-01-30,1704 Isabel Extensions Apt. 792,Worcester,MA,93145,USA,Other,Professional,82.14,2024-02-23,Mid,17,10,Office,Day,401-459-5542,169-87-9722,TABH11972389853151
EMP515719,Gabrielle,Castaneda,gabrielle.castaneda@company.com,834-769-1089,IT,IT Support Specialist,2021-10-21,1267,88137.92,7.08,Active,1969-07-03,044 Wright Spurs,Columbus,OH,94500,USA,F,Master,51.89,2022-12-01,Senior,16,1,Office,Flexible,+1-632-601-1430x6322,467-70-9518,UJLY69513113729645
EMP514261,Brad,Conway,brad.conway@company.com,+1-326-852-2514x58795,Customer Service,Call Center Supervisor,2023-05-23,688,30000.0,7.83,Leave,2005-11-07,108 Cheryl Street,New York,NY,97500,USA,Other,Professional,77.33,2024-01-03,Mid,20,7,Office,Day,215-210-3496,593-12-7666,PXID00891261456752
EMP208664,Brittany,Maldonado,brittany.maldonado@company.com,(514)627-2115x8968,Sales,Account Manager,2021-01-10,1551,30000.0,5.45,Active,1963-03-26,2084 Steven Landing,Springfield,IL,16467,USA,F,Professional,77.51,2021-10-13,Senior,18,2,Office,Night,748-985-6567,158-59-4391,SAJM23245379074228
EMP483326,Debra,Thompson,debra.thompson@company.com,9672378611,R&D,R&D Technician,2022-12-07,855,30000.0,4.75,Active,1964-11-11,4933 Caroline Island Suite 205,New York,NY,79028,USA,F,Professional,62.04,2023-02-07,Senior,14,7,Office,Day,892.576.7977x3330,830-99-4747,IDRU48530902578067
EMP181724,Hannah,Weiss,hannah.weiss@company.com,517-646-4550,R&D,Innovation Manager,2020-07-03,1742,30000.0,6.58,Inactive,1978-10-02,408 Smith Lake Suite 098,Peoria,IL,80395,USA,F,Professional,76.57,2023-02-01,Senior,22,6,Office,Night,001-859-712-6405x920,177-28-6231,MURQ54353471650927
EMP808987,Lynn,Phillips,lynn.phillips@company.com,+1-320-886-5462,HHRR,Training Coordinator,2023-12-19,478,47721.85,5.05,Leave,1987-06-17,261 Lee Falls,Augusta,GA,95649,USA,F,High School,84.83,2024-02-01,Mid,13,7,Office,Day,876-875-6063x68670,347-72-2043,QCYM20030167156992
EMP540662,Robert,Gonzalez,robert.gonzalez@company.com,(701)263-3723,Sales,Business Development Manager,2020-10-17,1636,71343.4,6.47,Active,1974-10-08,209 Jenkins Forks,Spokane,WA,45817,USA,M,Professional,66.39,2023-10-29,Senior,20,2,Hybrid,Day,703-861-9470x740,714-44-4607,SMMG95631644856421
EMP459735,Lisa,Simmons,lisa.simmons@company.com,(488)726-5294x9122,Customer Service,Customer Service Representative,2020-08-24,1690,97587.5,4.61,Active,1995-11-10,254 Dixon Shore,Boston,MA,93893,USA,F,Master,70.08,2021-05-09,Senior,21,5,Remote,Day,935.660.0525x4502,759-51-5341,DHWY85492766431065
EMP545994,Mark,Tate,mark.tate@company.com,5969154789,Operations,Logistics Specialist,2023-11-15,512,51214.03,2.32,Active,1976-10-11,3645 Curtis Roads Apt. 315,Dallas,TX,11174,USA,M,Professional,86.55,2023-12-25,Mid,10,3,Office,Day,304-727-2644,250-73-7861,ZVZY89066785261651
EMP770986,Frederick,Brown,frederick.brown@company.com,+1-843-864-8720x8843,Research,Research Analyst,2023-11-03,524,137911.25,2.71,Active,1960-08-10,8817 Berg Extensions,Tacoma,WA,16865,USA,M,Master,78.21,2023-11-18,Mid,15,5,Office,Day,001-594-701-1069x319,683-69-8913,QHCN74486739021549
EMP287063,Kevin,Douglas,kevin.douglas@company.com,+1-980-860-6609x17035,Engineering,Industrial Engineer,2021-05-25,1416,50616.18,4.16,Inactive,1980-10-11,8091 Arroyo Loaf Suite 257,Jacksonville,FL,74357,USA,M,Professional,74.17,2023-01-28,Senior,10,3,Office,Day,(638)701-2873,110-34-4387,XMMN79779698345376
EMP132435,Sheila,Jones,sheila.jones@company.com,545-837-0679,Support,Help Desk Technician,2021-03-29,1473,71800.71,3.08,Inactive,1983-01-09,7345 Turner Gateway Apt. 260,Rockford,IL,24262,USA,F,Professional,79.74,2021-06-14,Senior,17,4,Office,Day,+1-972-789-9376,490-37-8256,NRYJ88353481208637
EMP235953,Jill,Roy,jill.roy@company.com,001-462-266-8228x2944,Research,Data Scientist,2020-11-08,1614,51225.62,9.02,Active,1996-07-14,0311 Paula Plain Apt. 504,San Antonio,TX,41193,USA,F,Professional,85.6,2023-03-28,Senior,18,3,Office,Flexible,290-530-1552x32599,360-11-7716,UMQC75321374228067
EMP255368,Christopher,Pennington,christopher.pennington@company.com,3475683455,Support,Service Desk Analyst,2024-12-30,101,74592.35,6.06,Active,1979-01-22,822 Norton Light,Tacoma,WA,82639,USA,M,Master,53.78,2025-01-28,Entry,14,4,Office,Day,001-821-314-9132x05719,163-21-7767,KQYQ86263614205115
EMP636133,Bryan,Tran,bryan.tran@company.com,001-376-392-5810,Marketing,Digital Marketing Specialist,2024-09-03,219,109015.05,6.93,Inactive,1986-12-18,71432 Julie Stravenue Apt. 932,Peoria,IL,31452,USA,M,Master,86.56,2025-01-28,Entry,12,4,Office,Night,384.218.7656x72404,549-30-2153,KLBK28445506634240
EMP631170,Anthony,Wagner,anthony.wagner@company.com,001-966-673-9488x5669,Marketing,Market Research Analyst,2021-09-24,1294,53797.22,5.94,Active,1977-10-06,0907 Kevin Gateway Suite 319,Boston,MA,21648,USA,M,Professional,63.17,2023-04-03,Senior,18,3,Hybrid,Day,706.352.8107x153,689-38-6284,LEAS01202677264054
EMP764297,Karen,Ellis,karen.ellis@company.com,5102920770,Marketing,Digital Marketing Specialist,2024-12-09,122,200000.0,2.69,Active,1963-10-16,9411 Williams Squares,Allentown,PA,23503,USA,F,PhD,77.89,2025-02-17,Entry,8,2,Hybrid,Day,942-609-1796x83856,022-97-7209,CUHM27542165327065
EMP919421,Samantha,Snyder,samantha.snyder@company.com,742.858.5370x705,Support,Customer Support Representative,2023-09-22,566,48943.62,5.09,Active,1967-07-17,6959 Watts Parkways Apt. 997,Savannah,GA,00883,USA,F,Professional,100.0,2024-02-14,Mid,24,3,Office,Night,851.276.0828,804-20-3057,ZLXT28827405322947
EMP363506,Mary,Smith,mary.smith@company.com,001-307-493-0977x464,Quality,Production Assistant,2020-05-11,1795,50059.86,4.09,Active,1984-09-20,730 Ricardo Trail Suite 248,Seattle,WA,79853,USA,F,Master,74.74,2022-12-30,Senior,12,9,Office,Flexible,7663938837,527-14-0003,ASCE95969987566606
EMP527011,Carlos,Evans,carlos.evans@company.com,251-502-1621x846,R&D,Product Development Engineer,2021-09-22,1296,42626.86,4.82,Active,1965-03-20,7288 Ramirez Islands Apt. 677,Allentown,PA,87051,USA,M,Professional,85.42,2022-02-10,Senior,20,5,Office,Flexible,001-692-342-9174x655,611-07-5034,AAJF97616156366066
EMP613843,Lauren,Franklin,lauren.franklin@company.com,431.789.6879,Logistics,Logistics Manager,2023-07-13,637,47145.07,2.28,Active,1983-12-15,89254 Steven Field,San Antonio,TX,90573,USA,F,High School,75.62,2024-01-09,Mid,17,6,Office,Day,8382603190,070-14-1418,ZZPC34133780560426
EMP399374,Joel,Wright,joel.wright@company.com,744-601-9549x616,Sales,Sales Coordinator,2022-02-06,1159,53798.81,3.13,Active,1962-07-16,9483 Welch River Suite 598,New York,NY,51412,USA,M,Professional,83.86,2023-02-24,Senior,28,10,Office,Day,+1-608-951-6261,485-72-1453,FKLQ42646740246168
EMP664131,Isaiah,Harrison,isaiah.harrison@company.com,792.929.3666x946,Training,Learning and Development Specialist,2022-11-09,883,49708.81,2.8,Active,2007-02-01,1827 David Loop Apt. 776,Rockford,IL,49696,USA,M,Professional,66.6,2023-12-02,Senior,23,7,Office,Day,+1-367-427-7988,418-03-8041,XBHG52697485337039
EMP616573,Daniel,George,daniel.george@company.com,(270)324-8083x047,Sales,Sales Representative,2023-09-10,578,51818.25,5.54,Active,1968-10-31,5860 Johnson Views Apt. 089,Spokane,WA,04256,USA,M,Professional,66.74,2023-12-18,Mid,10,5,Remote,Flexible,2073633572,265-16-9143,WJTH99065896474440
EMP330716,Caleb,Hart,caleb.hart@company.com,805-239-3416x1594,Training,Instructional Designer,2025-03-02,39,30000.0,5.45,Inactive,1968-03-09,643 Brenda Inlet Apt. 102,Houston,TX,96194,USA,M,Professional,53.95,2025-03-13,Entry,10,2,Remote,Flexible,(242)818-9591,057-07-6698,HPOM15704093083663
EMP395667,Ariel,Cabrera,ariel.cabrera@company.com,(993)633-9450,Finance,Financial Analyst,2020-07-29,1716,87757.82,5.01,Active,1977-01-17,688 Allison Village,Houston,TX,77055,USA,F,Master,61.25,2023-08-03,Senior,15,3,Remote,Day,001-613-549-8371x1553,166-31-8120,RIIP95483881199884
EMP872855,John,Harris,john.harris@company.com,(526)727-9057x4964,Research,Data Scientist,2022-12-08,854,80235.11,3.9,Active,1984-04-22,87946 Daniel Fork Suite 870,Cleveland,OH,98492,USA,M,Master,67.02,2023-12-24,Senior,10,4,Office,Night,+1-720-593-3553x95200,322-31-0436,QIMN51040883235018
EMP438103,Michael,Mcneil,michael.mcneil@company.com,995-582-7276x775,Operations,Production Supervisor,2020-10-16,1637,53828.92,5.55,Active,1980-04-13,95565 Randall Pine Suite 353,Springfield,IL,50798,USA,M,Professional,74.9,2021-08-22,Senior,19,6,Remote,Day,(395)837-2156,096-46-1286,BWCC34731294097692
EMP687268,Joel,Walker,joel.walker@company.com,360-341-4871,Legal,Contract Specialist,2022-04-14,1092,62915.14,3.81,Active,1963-06-05,3228 Teresa Points,Austin,TX,64476,USA,M,High School,68.68,2023-09-15,Senior,16,2,Office,Day,+1-600-408-4388x83239,246-05-8524,PGRP34736864104738
EMP564433,Ashley,Weaver,ashley.weaver@company.com,570-842-7591x81771,Research,Market Researcher,2021-04-17,1454,149049.12,6.22,Active,1991-08-28,48249 Romero Hills Apt. 810,Chicago,IL,69259,USA,F,PhD,75.55,2022-01-16,Senior,13,9,Hybrid,Night,327-491-6556x0812,644-04-7783,TCDW26637078037105
EMP125830,Mary,Henry,mary.henry@company.com,975-931-2587x5188,Procurement,Procurement Manager,2021-08-05,1344,45767.37,7.14,Active,1963-09-13,074 John Alley,Springfield,IL,06692,USA,F,High School,89.2,2022-11-09,Senior,15,0,Hybrid,Night,567-886-1249x4564,518-43-0435,SVNB79417277413919
EMP803568,Jose,Hart,jose.hart@company.com,825.363.1483,Marketing,Marketing Manager,2025-02-12,57,30000.0,6.01,Active,1984-05-23,371 Ortiz Mills,San Diego,CA,21554,USA,Other,Master,100.0,2025-02-13,Entry,13,7,Remote,Day,(429)230-4900x870,139-31-5355,LGXC79671329090467
EMP444407,Gabriel,Wheeler,gabriel.wheeler@company.com,001-541-995-4943x1474,Engineering,Electrical Engineer,2022-05-15,1061,80277.67,4.48,Active,1960-01-08,0430 Travis Crossing,Spokane,WA,37340,USA,M,Professional,81.42,2024-01-12,Senior,17,4,Remote,Day,438-789-8526x5982,717-84-9246,XOLG34952879425560
EMP685493,Mary,Kemp,mary.kemp@company.com,422.682.5570x5177,Design,UX/UI Designer,2024-02-06,429,32706.04,6.53,Active,1980-09-28,665 Heidi Centers Apt. 401,Columbus,OH,66915,USA,F,High School,75.1,2024-03-13,Mid,13,9,Remote,Flexible,(808)443-0804,801-74-8967,ZUKV07198615825872
EMP619002,Yolanda,Miles,yolanda.miles@company.com,001-712-293-9086x64796,Operations,Operations Manager,2024-01-09,457,57209.94,6.03,Active,1981-04-09,9901 Heather Islands Apt. 939,Spokane,WA,24980,USA,F,PhD,74.27,2024-01-10,Mid,15,4,Office,Day,782.239.7066x829,737-29-1550,TCNZ13790099941702
EMP537678,Alicia,Reynolds,alicia.reynolds@company.com,(359)213-3748x19974,Support,Service Desk Analyst,2024-02-20,415,51804.94,5.42,Leave,1964-04-11,2838 Erickson Coves,Pittsburgh,PA,99113,USA,F,Professional,75.27,2024-04-02,Mid,21,7,Office,Day,224-874-1379,808-02-9863,HIJM05682632079888
EMP619123,Allen,Davis,allen.davis@company.com,444-682-2667,Procurement,Vendor Manager,2021-02-23,1507,53573.01,3.54,Active,1980-12-02,711 Lopez Station Suite 389,Allentown,PA,16218,USA,M,High School,78.99,2023-03-01,Senior,21,8,Remote,Night,396.808.8399,437-20-7801,UDBS35917583919728
EMP132450,Kelly,Carter,kelly.carter@company.com,5953990610,Design,Industrial Designer,2023-02-08,792,89806.91,6.2,Active,1993-07-21,004 Smith Village Apt. 533,Seattle,WA,48209,USA,F,Master,89.09,2023-07-06,Senior,12,6,Remote,Night,542-930-9501,243-82-2180,DONF12652962177193
EMP453555,Colin,Sanders,colin.sanders@company.com,230.952.4384x5224,Design,Graphic Designer,2022-12-09,853,67844.07,2.79,Active,1978-02-01,891 Ware Landing Apt. 400,Dallas,TX,24062,USA,M,Professional,84.8,2023-09-28,Senior,11,3,Office,Day,428-822-6471x1185,344-90-7221,RGSD32623507948011
EMP693527,Tammy,Miller,tammy.miller@company.com,6996642608,Legal,Legal Assistant,2024-04-20,355,56759.49,6.72,Active,1993-10-21,95406 Curry Mountain Suite 166,Allentown,PA,99733,USA,F,High School,66.75,2024-11-01,Entry,14,3,Office,Night,+1-625-406-2604x471,120-25-9849,NCDC19022520553704
EMP114778,Ronald,Willis,ronald.willis@company.com,970.720.3506,R&D,Research Scientist,2020-12-22,1570,73542.35,4.5,Active,1993-01-17,265 Smith Causeway Apt. 733,Tampa,FL,12711,USA,Other,Professional,71.65,2023-06-07,Senior,18,6,Hybrid,Night,430-371-9483x8898,047-84-4382,QQQE37342274211943
EMP999868,Calvin,Hines,calvin.hines@company.com,747.293.7519,Quality,Quality Control Inspector,2020-08-05,1709,80262.08,3.91,Active,1961-05-17,9646 Miller Cliffs,Worcester,MA,15252,USA,M,Master,72.44,2022-10-23,Senior,16,8,Office,Night,001-288-613-8349x7538,258-68-0523,YEUN42197714560885
EMP724184,Ryan,Lee,ryan.lee@company.com,633-567-9539x25342,IT,Database Administrator,2023-08-13,606,200000.0,4.86,Inactive,1969-02-10,194 Andrea Mountain Apt. 981,San Antonio,TX,82071,USA,M,Master,64.52,2024-01-04,Mid,13,0,Office,Day,495-276-3886x851,096-86-8465,XVKW26123057822985
EMP345967,Cindy,Sanchez,cindy.sanchez@company.com,(579)700-7452x032,Design,Industrial Designer,2023-05-20,691,53221.9,3.59,Active,1965-10-08,3021 Linda Branch Apt. 670,Philadelphia,PA,30698,USA,F,High School,79.39,2023-12-29,Mid,14,3,Office,Day,001-363-506-3484x135,607-03-1046,MWHH75784470436130
EMP298417,Whitney,Perez,whitney.perez@company.com,861-469-5965x210,HHRR,HR Manager,2023-07-05,645,51514.73,7.41,Active,2007-01-23,7536 Derek Corners Apt. 850,Orlando,FL,59706,USA,F,High School,65.75,2024-03-14,Mid,14,5,Office,Night,790.319.0920x975,282-05-8016,JFHY07899568714558
EMP407686,Todd,Sanchez,todd.sanchez@company.com,285.557.0663x394,Support,Help Desk Technician,2020-07-27,1718,30000.0,3.01,Active,2004-07-10,0410 Reed Orchard,Cincinnati,OH,29178,USA,M,Professional,77.39,2020-07-29,Senior,15,5,Office,Day,+1-858-858-8568,372-70-7559,GQJE98633553111718
EMP100940,Jeff,Lewis,jeff.lewis@company.com,(728)668-8438,IT,Software Developer,2022-11-29,863,91134.98,4.59,Active,1973-07-02,228 Spencer Squares,Pittsburgh,PA,73000,USA,M,Master,62.76,2023-11-27,Senior,16,10,Office,Day,+1-254-858-3241x457,195-86-2696,LLZI99505535204231
EMP399186,Christopher,Quinn,christopher.quinn@company.com,(355)612-4563,IT,Software Developer,2020-08-06,1708,61918.13,6.2,Active,1993-10-06,701 Meyer Pines Apt. 069,Boston,MA,20525,USA,M,Professional,77.67,2024-03-17,Senior,18,7,Remote,Day,001-360-586-4997x4266,123-97-1057,SJYO09046847819434
EMP719728,Chad,White,chad.white@company.com,(771)809-5836x8884,R&D,Product Development Engineer,2022-04-04,1102,53784.18,3.78,Active,1988-01-29,5428 Samantha Locks Suite 186,San Antonio,TX,87950,USA,M,Master,76.55,2022-12-13,Senior,20,5,Hybrid,Day,935.642.2074x67411,779-92-0806,CLQV17388844058418
EMP821919,Ryan,Ritter,ryan.ritter@company.com,(622)682-7797x5602,Customer Service,Call Center Supervisor,2022-12-19,843,46977.95,4.4,Active,1990-04-23,7677 Madden Flats Apt. 680,Boston,MA,41445,USA,M,High School,69.13,2023-11-17,Senior,12,5,Remote,Day,444-843-4437,446-77-0833,NSKO94311168239287
EMP682831,Anthony,Cisneros,anthony.cisneros@company.com,825-247-9916x83326,Development,Mobile App Developer,2025-02-12,57,55878.29,5.21,Active,1982-09-23,3673 Phyllis River,Dallas,TX,19538,USA,M,Professional,83.34,2025-03-13,Entry,15,4,Office,Day,(462)636-6528x93066,260-47-7642,RBKU55863232349154
EMP568466,Austin,Spence,austin.spence@company.com,2742082596,Legal,Corporate Lawyer,2022-05-17,1059,100208.01,6.13,Active,2005-09-03,678 Penny Passage,Spokane,WA,29683,USA,Other,Master,79.4,2022-07-02,Senior,17,5,Hybrid,Day,931.336.7882,678-21-6882,SHRI27626327002747
EMP796950,Donald,Black,donald.black@company.com,+1-351-921-0020x53611,Logistics,Warehouse Supervisor,2024-05-11,334,72912.14,6.58,Active,1971-10-15,06168 Baker Stravenue,Chicago,IL,17527,USA,M,Master,83.92,2024-12-23,Entry,19,2,Office,Night,717-757-1463x01653,887-69-1531,IHVH18248368262970
EMP744562,Nicole,Wright,nicole.wright@company.com,(205)432-8276,Research,Academic Researcher,2021-07-15,1365,65408.56,2.69,Active,1996-11-08,72624 Thomas Knolls,Chicago,IL,28337,USA,Other,Professional,76.98,2023-06-21,Senior,12,1,Hybrid,Day,7343246538,828-97-3134,SLEH50984019464020
EMP200884,Elizabeth,Rodriguez,elizabeth.rodriguez@company.com,866.597.2878x316,Sales,Sales Representative,2022-12-31,831,39877.2,3.7,Inactive,1991-07-16,07943 Matthew Pass Apt. 627,Springfield,IL,29941,USA,F,Professional,86.17,2023-11-29,Senior,9,4,Hybrid,Day,302.306.2712x77068,730-62-3170,THAJ12105547925993
EMP269029,Teresa,Costa,teresa.costa@company.com,+1-515-787-9458,Logistics,Warehouse Supervisor,2022-04-17,1089,30000.0,4.58,Active,1978-09-11,73970 Rivera Via Apt. 501,Boston,MA,64623,USA,F,Professional,87.01,2023-06-04,Senior,20,6,Office,Day,+1-248-203-6481x7738,098-17-4320,GNNS66013735994213
EMP233950,Todd,Collins,todd.collins@company.com,(315)876-1485,Customer Service,Customer Service Representative,2020-04-18,1818,77394.85,4.17,Active,1967-11-24,08082 Michelle Road,Philadelphia,PA,59831,USA,M,Master,69.06,2023-05-02,Senior,14,8,Office,Night,(590)794-3660,668-99-0263,WFLZ89922774402048
EMP277069,Tiffany,Anderson,tiffany.anderson@company.com,4166132964,HHRR,Payroll Coordinator,2024-05-14,331,30000.0,4.76,Active,1969-04-20,89545 Timothy Ville Apt. 226,Tampa,FL,96024,USA,F,Professional,68.83,2024-09-22,Entry,18,3,Remote,Day,+1-520-229-5722x04010,423-73-9750,ESNS22920495150604
EMP116599,Emily,Roberts,emily.roberts@company.com,001-889-985-0833x790,Customer Service,Client Relations Manager,2023-10-21,537,30000.0,7.2,Leave,1975-02-04,18192 Sonia Corners,New York,NY,95228,USA,Other,High School,82.37,2024-01-31,Mid,13,5,Hybrid,Day,(851)905-0989x65561,162-25-0304,HCTS80397455321770
EMP464991,Dawn,Miller,dawn.miller@company.com,(946)673-2779x662,R&D,Product Development Engineer,2021-01-01,1560,77676.14,5.87,Active,2001-10-05,71288 Sarah Field Suite 191,Pittsburgh,PA,94138,USA,F,Master,89.69,2022-11-01,Senior,15,5,Remote,Day,994-691-3776x964,094-79-0584,PJUI00133174527056
EMP250085,Patrick,Ashley,patrick.ashley@company.com,+1-707-535-2266x3762,Training,Learning and Development Specialist,2022-06-14,1031,80528.08,7.34,Active,2004-02-15,7550 Smith Mission Apt. 343,Houston,TX,75482,USA,M,PhD,78.45,2022-08-18,Senior,12,4,Office,Night,001-338-904-2515,273-03-7370,CTSD13549799832141
EMP867584,Michele,Dunn,michele.dunn@company.com,346.660.5308,Engineering,Electrical Engineer,2022-10-24,899,30000.0,5.43,Active,1960-05-29,54057 Little Bridge Apt. 074,Spokane,WA,51379,USA,F,Professional,66.94,2023-11-18,Senior,12,3,Office,Day,001-953-215-6149x3016,730-66-5372,NXNL88665208133069
EMP110852,Daniel,Brown,daniel.brown@company.com,480-903-6403,Operations,Operations Analyst,2022-10-31,892,93057.75,5.08,Active,1980-12-05,367 Christine Divide,Orlando,FL,98410,USA,M,Professional,70.54,2023-05-17,Senior,17,9,Office,Day,(770)501-1059,366-85-0595,UQZQ91147899285077
EMP358765,Daniel,Brown,daniel.brown@company.com,579-822-7915x039,Support,Customer Support Representative,2021-09-02,1316,67132.87,4.46,Active,2005-05-03,3269 Martin Locks,Spokane,WA,69874,USA,M,Professional,61.14,2023-07-06,Senior,21,3,Hybrid,Day,8299898256,344-97-4098,NFSA00812405997916
EMP391970,Julie,Gray,julie.gray@company.com,495-678-3187x6157,Customer Service,Customer Success Manager,2021-06-16,1394,37807.52,4.25,Active,1973-08-09,5526 Reyes Summit Suite 547,Allentown,PA,88241,USA,F,High School,62.65,2023-05-17,Senior,16,7,Office,Day,691-690-1414,486-93-7273,TKCG04831896584339
EMP672548,Pamela,Cantu,pamela.cantu@company.com,340-572-3047x78246,Research,Market Researcher,2022-07-02,1013,39744.9,4.82,Active,1969-06-15,56866 Williams Springs,Austin,TX,25837,USA,F,High School,64.23,2023-12-12,Senior,17,3,Remote,Day,(605)682-5875x610,196-01-6216,PRJZ24557820217592
